model,person,n_seeds,recall_mean,recall_sd
Model_B,person026,3,0.8717948717948718,0.055514448960540946
Model_B,person027,3,0.8653846153846153,0.033308669376324554
Model_B,person028,3,0.8333333333333334,0.01110288979210822
Model_B,person029,3,0.9487179487179488,0.029375485224075848
Model_B,person030,3,0.8141025641025642,0.0444115591684328
Model_B,person031,3,0.8525641025641025,0.029375485224075897
Model_B,person032,3,0.8333333333333334,0.011102889792108172
Model_B,person033,3,0.8012820512820512,0.04003203845127177
Model_B,person034,3,0.8525641025641025,0.09868464306628617
Model_B,person035,3,0.967948717948718,0.011102889792108148
Model_B,person036,3,0.9615384615384616,0.0
Model_B,person037,3,0.8910256410256411,0.022205779584216375
Model_B,person038,3,0.7884615384615384,0.06661733875264914
Model_B,person039,3,0.8076923076923078,0.03846153846153841
Model_B,person040,3,0.858974358974359,0.048396374585068874
