seed,model,person,n_images,recall
42,Model_B,person084,52,0.9038461538461539
42,Model_B,person085,52,0.7115384615384616
42,Model_B,person086,52,0.7692307692307693
42,Model_B,person087,52,0.7692307692307693
42,Model_B,person088,52,0.8269230769230769
42,Model_B,person089,52,0.8269230769230769
42,Model_B,person090,52,0.9230769230769231
42,Model_B,person091,52,0.8846153846153846
42,Model_B,person092,52,0.9615384615384616
42,Model_B,person093,52,0.9038461538461539
42,Model_B,person094,52,0.7692307692307693
42,Model_B,person095,52,0.9615384615384616
42,Model_B,person096,52,0.8461538461538461
42,Model_B,person097,52,0.7884615384615384
42,Model_B,person098,52,0.8846153846153846
42,Model_B,person099,52,0.8846153846153846
42,Model_B,person100,52,0.8461538461538461
42,Model_B,person101,52,0.9038461538461539
42,Model_B,person102,52,0.8653846153846154
42,Model_B,person103,52,0.9230769230769231
42,Model_B,person104,52,0.8461538461538461
42,Model_B,person105,52,0.8076923076923077
42,Model_B,person106,52,0.8653846153846154
42,Model_B,person107,52,0.8461538461538461
42,Model_B,person108,52,0.8076923076923077
42,Model_B,person109,52,0.9038461538461539
42,Model_B,person110,52,0.9423076923076923
42,Model_B,person111,52,0.8846153846153846
42,Model_B,person112,52,0.75
42,Model_B,person113,52,0.9038461538461539
42,Model_B,person114,52,0.8846153846153846
42,Model_B,person115,52,0.9423076923076923
42,Model_B,person116,52,1.0
42,Model_B,person117,52,0.8269230769230769
42,Model_B,person118,52,0.9230769230769231
42,Model_B,person119,52,0.9423076923076923
42,Model_B,person120,52,0.8846153846153846
42,Model_B,person121,52,0.7884615384615384
42,Model_B,person122,52,0.8653846153846154
42,Model_B,person123,52,0.8653846153846154
42,Model_B,person124,52,0.75
42,Model_B,person125,52,0.8076923076923077
42,Model_B,person126,52,0.7884615384615384
42,Model_B,person127,52,0.8653846153846154
42,Model_B,person128,52,0.8461538461538461
42,Model_B,person129,52,0.8846153846153846
